RSSI,PDR,Scenario
-63.81,0.019558671,2
-63.81,0.019558671,2
-63.81,0.019252786,2
-63.81,0.019558671,2
-63.81,0.019558671,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.82,0.019252786,2
-63.82,0.019252786,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.83,0.018950796,2
-63.83,0.018950796,2
-63.83,0.018652665,2
-63.83,0.018652665,2
-63.83,0.018652665,2
-63.84,0.018652665,2
-63.84,0.018652665,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.018652665,2
-63.84,0.018652665,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.01835836,2
-63.84,0.018652665,2
-63.84,0.018652665,2
-63.83,0.018652665,2
-63.84,0.018652665,2
-63.83,0.018652665,2
-63.83,0.018652665,2
-63.82,0.018652665,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.82,0.018950796,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019558671,2
-63.81,0.019252786,2
-63.81,0.019252786,2
-63.81,0.019558671,2
-63.81,0.019252786,2
-63.81,0.019252786,2
